Product ID,ERP Product Family,Product Description,Product Bulletin ID,Product Bulletin URL,End of Sale Date,End of Security/Vulnerability ,Last Date of Support
SPA-8X1GE-V2,SPA,Cisco 8-Port Gigabit Ethernet Shared Port Adapter,EOL14742,https://www.cisco.com/c/en/us/products/collateral/routers/asr-1000-series-aggregation-services-routers/asr1000-rp2-spa-misc-cable-skus-eol.html,8/15/22,11/2/25,11/30/27
SPA-8XCHT1/E1,SPA,^8-port Channelized T1/E1 to DS0 Shared Port Adapter,EOL9508,http://www.cisco.com/en/US/prod/collateral/modules/ps6267/eos-eol-notice-c51-730318.html,5/19/14,5/18/17,5/31/19
SPA-8XCHT1/E1-V2,SPA,8-port Channelized T1/E1 to DS0 Shared Port Adapter,EOL14742,https://www.cisco.com/c/en/us/products/collateral/routers/asr-1000-series-aggregation-services-routers/asr1000-rp2-spa-misc-cable-skus-eol.html,8/15/22,11/2/25,11/30/27
SPA-8XOC12-POS,SPA,8-port OC12/STM4 POS Shared Port Adapters,EOL14742,https://www.cisco.com/c/en/us/products/collateral/routers/asr-1000-series-aggregation-services-routers/asr1000-rp2-spa-misc-cable-skus-eol.html,8/15/22,11/2/25,11/30/27
SPA-IPSEC-2G,SEC,^Cisco 7600 / Catalyst 6500 IPSec VPN SPA - DES/3DES/AES,EOL7054,http://www.cisco.com/en/US/prod/collateral/modules/ps6267/end_of_life_c51-583910.html,2/8/11,2/7/14,2/29/16
SSM-4GE,ASAMID,^ASA 5500 4-Port Gigabit Ethernet SSM (RJ-45+SFP),EOL9156,http://www.cisco.com/en/US/prod/collateral/vpndevc/ps6032/ps6094/ps6120/eol_C51-727284.html,9/16/13,N/A,9/30/18
SSM-4GE-INC,ASAMID,^SSM-4GE embedded within ASA 5550 systems,EOL10522,http://www.cisco.com/en/US/products/ps6120/prod_eol_notices_list.html,9/16/13,N/A,9/30/18
UCS-E140S-M1/K9,APP,"^UCS-E,SingleWide,4Cor CPU,2x8G SD,1x8GB UDIMM,1-2 HDD",EOL10588,http://www.cisco.com/c/en/us/products/collateral/servers-unified-computing/ucs-e-series-servers/eos-eol-notice-c51-735780.html,3/10/16,N/A,3/31/21
UCS-E140S-M2/K9,APP,"^^UCS-E,SingleWide,4Cor CPU,2x8GB SD,1x8GB UDIMM,1-2 HDD",EOL13241,https://www.cisco.com/c/en/us/products/collateral/servers-unified-computing/ucs-e-series-servers/eos-eol-notice-c51-743125.html,2/7/20,2/6/23,2/28/25
UCS-E160S-M3/K9,APP,"UCS-E, SingleWide, 6 Core CPU, 8 GB Flash, 1-2 HDD",N/A,N/A,N/A,N/A,N/A
VIC2-2FXS,ICV,^Two-port Voice Interface Card - FXS,EOL6634,http://www.cisco.com/en/US/prod/collateral/modules/ps3129/eol_c51_514041.html,6/23/09,N/A,6/22/14
VIC-2FXS=,ICV,^Two-port Voice Interface Card - FXS-Spare,2769,http://www.cisco.com/en/US/products/hw/routers/ps259/prod_eol_notice0900aecd80234f41.html,8/15/05,N/A,8/31/10
VIC3-2E/M,ICV,^Two-port Voice Interface Card - E and M,EOL11178,http://www.cisco.com/c/en/us/products/collateral/routers/2900-series-integrated-services-routers-isr/eos-eol-notice-c51-737888.html,12/9/17,12/8/20,12/31/22
VIC3-2FXS/DID,ICV,^Two-Port Voice Interface Card- FXS and DID,EOL11178,http://www.cisco.com/c/en/us/products/collateral/routers/2900-series-integrated-services-routers-isr/eos-eol-notice-c51-737888.html,12/9/17,12/8/20,12/31/22
VIC3-2FXS-E/DID,ICV,^Two-Port Voice Interface Card - FXS and DID (OPX Lite FXS),EOL11178,http://www.cisco.com/c/en/us/products/collateral/routers/2900-series-integrated-services-routers-isr/eos-eol-notice-c51-737888.html,12/9/17,12/8/20,12/31/22
VS-F6K-MSFC3,C6000,^Catalyst 6500 Multilayer Switch Feature Card (MSFC) III,EOL9892,http://www.cisco.com/c/en/us/products/collateral/switches/catalyst-6500-series-switches/eos-eol-notice-c51-733297.html,7/31/15,N/A,7/31/20
VS-F6K-MSFC5,C6000,^Cat 6k 80G Sys Daughter Card MSFC5 for Sup2T,EOL13583,,9/17/20,9/17/20,9/30/20
VS-F6K-PFC3C,C6000,^Catalyst 6500 Sup 720-10G Policy Feature Card 3C,EOL9892,http://www.cisco.com/c/en/us/products/collateral/switches/catalyst-6500-series-switches/eos-eol-notice-c51-733297.html,7/31/15,N/A,7/31/20
VS-F6K-PFC4,C6000,^Cat 6k 80G Sys Daughter Board Sup2T PFC4,EOL13211,https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-6500-series-switches/eos-eol-notice-c51-743096.html,10/30/20,10/31/25,10/31/25
